bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01P01,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,144,71,73,1,0,1,2,1,1
01P01,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,6,145,69,76,2,2,0,4,3,1
01P03,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,60,33,27,3,2,1,8,3,5
01P03,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,54,29,25,17,9,8,22,16,6
01P03,Jahrgangsstufe 05,Regelklasse,1,19,11,8,3,0,3,4,0,4
01P03,Jahrgangsstufe 06,Regelklasse,1,20,12,8,4,3,1,2,2,0
01P03,Jahrgangsstufe 07,Regelklasse,3,63,30,33,11,5,6,31,10,21
01P03,Jahrgangsstufe 08,Regelklasse,3,66,35,31,18,9,9,36,16,20
01P03,Jahrgangsstufe 09,Regelklasse,3,66,35,31,13,6,7,24,12,12
01P03,Jahrgangsstufe 10,Regelklasse,3,59,38,21,15,11,4,21,15,6
01P03,Jahrgangsstufe 10,Regelklasse,1,13,11,2,0,0,0,11,9,2
01P04,Jahrgangsstufe 03,Regelklasse,1,31,16,15,1,0,1,0,0,0
01P04,Jahrgangsstufe 04,Regelklasse,1,32,13,19,0,0,0,0,0,0
01P04,Jahrgangsstufe 05,Regelklasse,1,30,17,13,2,2,0,0,0,0
01P04,Jahrgangsstufe 06,Regelklasse,1,32,13,19,0,0,0,0,0,0
01P04,Jahrgangsstufe 07,Regelklasse,1,31,17,14,1,0,1,0,0,0
01P04,Jahrgangsstufe 08,Regelklasse,1,32,15,17,6,5,1,0,0,0
01P04,Jahrgangsstufe 09,Regelklasse,1,32,15,17,0,0,0,0,0,0
01P04,Jahrgangsstufe 10,Regelklasse,1,30,13,17,0,0,0,0,0,0
01P04,Jahrgangsstufe 11,Regelklasse,1,31,14,17,0,0,0,0,0,0
01P04,Jahrgangsstufe 12,Regelklasse,1,26,13,13,2,0,2,0,0,0
01P04,Jahrgangsstufe 13,Regelklasse,1,25,7,18,1,0,1,0,0,0
